G N M I OF
1 20 28 3 918.78
1 20 28 4 1285.54
1 20 28 5 854.8
1 20 28 6 902.73
1 20 28 7 1271.35
1 20 28 8 997.63
1 20 28 9 1199.52
1 20 28 10 1090.08
1 20 28 11 979.69
1 20 28 12 1177.01
1 20 28 13 1097.44
1 20 28 14 1175.17
1 20 28 15 1725.34
1 20 28 16 1229.06
1 20 28 17 1455.72
1 20 28 18 1330.57
1 20 28 19 986.67
1 20 28 20 1083.29
1 20 28 21 797.57
1 20 28 22 1196.07
1 20 28 23 998.67
1 20 28 24 1205.83
1 20 28 25 1019.12
1 20 28 26 1329.86
1 20 28 27 823.76
1 20 28 28 1256.24
1 20 28 29 1385.93
1 20 28 30 1138.4
1 20 28 31 1116.88
1 20 28 32 1326.89
1 20 28 33 1079.9
1 20 28 34 1069.67
1 20 28 35 1163.54
1 20 28 36 1366.42
1 20 28 37 1645.38
1 20 28 38 1320.26
1 20 28 39 1543.87
1 20 28 40 796.65
1 20 28 41 1204.73
1 20 28 42 1441.46
1 20 28 43 899.93
1 20 28 44 1185.08
1 20 28 45 1595.7
1 20 28 46 1298.9
1 20 28 47 1202.76
1 20 28 48 1175.42
1 20 28 49 1275.2
1 40 24 0 1017.02
1 40 24 1 2166.57
1 40 24 2 1971.52
1 40 24 3 1639.2
1 40 24 4 1791.72
1 40 24 5 2058.81
1 40 24 6 2172.45
1 40 24 7 2475.36
1 40 24 8 1893.41
1 40 24 9 2168.8
1 40 24 10 2367.45
1 40 24 11 1898
1 40 24 12 1961.45
1 40 24 13 1987.49
1 40 24 14 1960.65
1 40 24 15 1459.33
1 40 24 16 1728.22
1 40 24 17 2017.96
1 40 24 18 2118.1
1 40 24 19 1858.19
1 40 24 20 1991.94
1 40 24 21 2580.98
1 40 24 22 2909.48
1 40 24 23 1625.12
1 40 24 24 2346.87
1 40 24 25 2293.48
1 40 24 26 2247.53
1 40 24 27 1569.14
1 40 24 28 2588.65
1 40 24 29 1940.89
1 40 24 30 2971.36
1 40 24 31 1877.71
1 40 24 32 2508.33
1 40 24 33 2179.01
1 40 24 34 1981.94
1 40 24 35 1594.42
1 40 24 36 1509.26
1 40 24 37 1942.36
1 40 24 38 1951.53
1 40 24 39 2036.09
1 40 24 40 2203.98
1 40 24 41 2119.44
1 40 24 42 2113.45
1 40 24 43 2112.89
1 40 24 44 1994.51
1 40 24 45 2595.56
1 40 24 46 1824.48
1 40 24 47 2204.22
1 40 24 48 2306.48
1 40 24 49 1831.15
1 40 40 0 3749.44
1 40 40 1 3675.5
1 40 40 2 2873.49
1 40 40 3 4027.68
1 40 40 4 4516.4
1 40 40 5 3985.39
