G N M I OF
1 20 28 3 952.83
1 20 28 4 1365.32
1 20 28 5 883.23
1 20 28 6 955
1 20 28 7 1341.25
1 20 28 8 1058.37
1 20 28 9 1242.4
1 20 28 10 1122.08
1 20 28 11 1005.74
1 20 28 12 1250.59
1 20 28 13 1168.66
1 20 28 14 1247.14
1 20 28 15 1773.8
1 20 28 16 1238.1
1 20 28 17 1480.09
1 20 28 18 1380.02
1 20 28 19 1021.88
1 20 28 20 1138.16
1 20 28 21 826.55
1 20 28 22 1270.78
1 20 28 23 1024.55
1 20 28 24 1258.83
1 20 28 25 1062
1 20 28 26 1420.6
1 20 28 27 850.21
1 20 28 28 1335.28
1 20 28 29 1451.02
1 20 28 30 1249.06
1 20 28 31 1149.7
1 20 28 32 1367.06
1 20 28 33 1164.45
1 20 28 34 1123.95
1 20 28 35 1203.16
1 20 28 36 1416.39
1 20 28 37 1703.49
1 20 28 38 1384.95
1 20 28 39 1645.01
1 20 28 40 862.39
1 20 28 41 1281.77
1 20 28 42 1482.41
1 20 28 43 1004.26
1 20 28 44 1206.47
1 20 28 45 1614.82
1 20 28 46 1384.97
1 20 28 47 1229.64
1 20 28 48 1214.68
1 20 28 49 1323.17
1 40 24 0 1064.79
1 40 24 1 2239.43
1 40 24 2 2020.6
1 40 24 3 1647.35
1 40 24 4 1853.66
1 40 24 5 2087.3
1 40 24 6 2236.67
1 40 24 7 2536.49
1 40 24 8 1967.77
1 40 24 9 2202.06
1 40 24 10 2396.14
1 40 24 11 1939.77
1 40 24 12 2078.58
1 40 24 13 2072.57
1 40 24 14 2016.75
1 40 24 15 1512.69
1 40 24 16 1778.7
1 40 24 17 2045.66
1 40 24 18 2146.83
1 40 24 19 1883.45
1 40 24 20 2021.58
1 40 24 21 2598.82
1 40 24 22 2977.94
1 40 24 23 1648.84
1 40 24 24 2404.35
1 40 24 25 2356.19
1 40 24 26 2300.76
1 40 24 27 1626.32
1 40 24 28 2628.06
1 40 24 29 1990.77
1 40 24 30 3077.6
1 40 24 31 1916.97
1 40 24 32 2578.34
1 40 24 33 2260.11
1 40 24 34 2023.25
1 40 24 35 1641.16
1 40 24 36 1555
1 40 24 37 1960.61
1 40 24 38 1988.72
1 40 24 39 2087.91
1 40 24 40 2227.98
1 40 24 41 2161.02
1 40 24 42 2201.81
1 40 24 43 2184.84
1 40 24 44 2065.72
1 40 24 45 2637.82
1 40 24 46 1873.38
1 40 24 47 2233.69
1 40 24 48 2346.29
1 40 24 49 1861.08
1 40 40 0 3826.73
1 40 40 1 3742.14
1 40 40 2 2976.37
1 40 40 3 4124.74
1 40 40 4 4613.65
1 40 40 5 4162.58
1 40 40 6 3406.12
1 40 40 7 3313.63
1 40 40 8 5143.91
1 40 40 9 3902.25
1 40 40 10 3010.97
1 40 40 11 3847.12
1 40 40 12 3939.58
1 40 40 13 3269.12
1 40 40 14 3188.11
1 40 40 15 3041.38
1 40 40 16 3206.02
1 40 40 17 3071.11
1 40 40 18 3584.42
1 40 40 19 4020.67
1 40 40 20 3295.05
1 40 40 21 3626.52
1 40 40 22 4235.6
1 40 40 23 3634.07
1 40 40 24 3813.08
1 40 40 25 3676.21
1 40 40 26 3551.92
1 40 40 27 3200.03
1 40 40 28 4213.36
1 40 40 29 3162.09
1 40 40 30 4223.93
1 40 40 31 4266.34
1 40 40 32 2637.57
1 40 40 33 2873.47
1 40 40 34 3974.37
1 40 40 35 3761.41
1 40 40 36 3092.91
1 40 40 37 4172.92
1 40 40 38 4175.81
1 40 40 39 2786.81
1 40 40 40 4548.34
1 40 40 41 3315.9
1 40 40 42 3530.53
1 40 40 43 3765.85
1 40 40 44 4017.24
1 40 40 45 4530.94
1 40 40 46 3424.83
1 40 40 47 3721.04
1 40 40 48 3773.39
1 40 40 49 4256.28
1 40 56 0 5233.64
1 40 56 1 5580.95
1 40 56 2 5263.53
1 40 56 3 4520.05
1 40 56 4 5519.48
1 40 56 5 5331.9
1 40 56 6 4088.46
1 40 56 7 4759.34
1 40 56 8 4284.92
1 40 56 9 5503.79
1 40 56 10 5097.9
1 40 56 11 6399.61
1 40 56 12 4973.82
1 40 56 13 6213.6
1 40 56 14 4352.32
1 40 56 15 6000.77
1 40 56 16 5467.56
1 40 56 17 6688.74
1 40 56 18 4937.14
1 40 56 19 4706.12
1 40 56 20 5227.78
1 40 56 21 4774.32
1 40 56 22 5959.49
1 40 56 23 4558.07
1 40 56 24 5358.92
1 40 56 25 5657.25
1 40 56 26 4841.11
1 40 56 27 4917.35
1 40 56 28 4327.36
1 40 56 29 4881.6
1 40 56 30 5537.32
1 40 56 31 4964.38
1 40 56 32 5269.89
1 40 56 33 5101.49
1 40 56 34 4024.23
1 40 56 35 4868.17
1 40 56 36 5165.07
1 40 56 37 4756.88
1 40 56 38 4133.09
1 40 56 39 5841.2
1 40 56 40 4848.33
1 40 56 41 5502.79
1 40 56 42 5102.04
1 40 56 43 6188.82
1 40 56 44 5013.94
1 40 56 45 4855.84
1 40 56 46 4504.65
1 40 56 47 4221.75
1 40 56 48 5920.27
1 40 56 49 5246.55
1 80 112 0 21785.94
1 80 112 1 21261.85
1 80 112 2 20511.69
1 80 112 3 19398.56
1 80 112 4 23446.32
1 80 112 5 20858.65
1 80 112 6 24968.69
1 80 112 7 23543.78
1 80 112 8 21903.27
1 80 112 9 20477.93
1 80 112 10 22791.25
1 80 112 11 22718.27
