G N M I OF
1 20 28 3 918.78
1 20 28 4 1285.54
1 20 28 5 854.8
1 20 28 6 902.73
1 20 28 7 1271.35
1 20 28 8 997.63
1 20 28 9 1199.69
1 20 28 10 1089.72
1 20 28 11 977.19
1 20 28 12 1176.4
1 20 28 13 1097.44
1 20 28 14 1174.29
1 20 28 15 1725.34
1 20 28 16 1229.76
1 20 28 17 1455.72
1 20 28 18 1330.85
1 20 28 19 987.57
1 20 28 20 1082.09
1 20 28 21 797.57
1 20 28 22 1197.13
1 20 28 23 1001.05
1 20 28 24 1205.83
1 20 28 25 1022
1 20 28 26 1329.87
1 20 28 27 823.76
1 20 28 28 1256.58
1 20 28 29 1385.93
1 20 28 30 1138.4
1 20 28 31 1117
1 20 28 32 1328.79
1 20 28 33 1080.53
1 20 28 34 1070.35
1 20 28 35 1166.54
1 20 28 36 1365.56
1 20 28 37 1642.84
1 20 28 38 1320.26
1 20 28 39 1544.73
1 20 28 40 796.65
1 20 28 41 1207.14
1 20 28 42 1441.46
1 20 28 43 900.45
1 20 28 44 1187.28
1 20 28 45 1595.7
1 20 28 46 1300.11
1 20 28 47 1205.32
1 20 28 48 1175.42
1 20 28 49 1275.36
1 40 24 0 1017.87
1 40 24 1 2174.13
1 40 24 2 1971.52
1 40 24 3 1639.2
1 40 24 4 1790.72
1 40 24 5 2059.75
1 40 24 6 2172.45
1 40 24 7 2474.95
1 40 24 8 1891.99
1 40 24 9 2166.53
1 40 24 10 2367.45
1 40 24 11 1898
1 40 24 12 1963.97
1 40 24 13 1987.49
1 40 24 14 1960.65
1 40 24 15 1465.66
1 40 24 16 1733.91
1 40 24 17 2017.74
1 40 24 18 2118.1
1 40 24 19 1859.39
1 40 24 20 1991.94
1 40 24 21 2580.98
1 40 24 22 2911.64
1 40 24 23 1625.24
1 40 24 24 2346.87
1 40 24 25 2296.08
1 40 24 26 2251.43
1 40 24 27 1570.84
1 40 24 28 2591.43
1 40 24 29 1940.89
1 40 24 30 2973.31
1 40 24 31 1878.35
1 40 24 32 2508.33
1 40 24 33 2183.69
1 40 24 34 1981.86
1 40 24 35 1594.42
1 40 24 36 1509.42
1 40 24 37 1942.27
1 40 24 38 1960.07
1 40 24 39 2036.09
1 40 24 40 2203.88
1 40 24 41 2122.18
1 40 24 42 2115.61
1 40 24 43 2119.53
1 40 24 44 1994.51
1 40 24 45 2595.56
1 40 24 46 1824.92
1 40 24 47 2203.48
1 40 24 48 2315.4
1 40 24 49 1836.48
1 40 40 0 3748.63
1 40 40 1 3678.02
1 40 40 2 2873.79
1 40 40 3 4032.13
1 40 40 4 4516.4
1 40 40 5 3985.39
