G N M I OF
1 20 28 3 920.67
1 20 28 4 1297.51
1 20 28 5 868.74
1 20 28 6 927.32
1 20 28 7 1306.72
1 20 28 8 1042.65
1 20 28 9 1222.38
1 20 28 10 1098.7
1 20 28 11 975.62
1 20 28 12 1208.49
1 20 28 13 1157.65
1 20 28 14 1195.12
1 20 28 15 1734.18
1 20 28 16 1231.86
1 20 28 17 1469.98
1 20 28 18 1362.65
1 20 28 19 994.59
1 20 28 20 1097.54
1 20 28 21 808.49
1 20 28 22 1214.35
1 20 28 23 999.74
1 20 28 24 1236.82
1 20 28 25 1026.97
1 20 28 26 1368.73
1 20 28 27 828.74
1 20 28 28 1283.63
1 20 28 29 1431.28
1 20 28 30 1213.59
1 20 28 31 1108.85
1 20 28 32 1333.57
1 20 28 33 1108.58
1 20 28 34 1082.55
1 20 28 35 1183.11
1 20 28 36 1372.56
1 20 28 37 1663.64
1 20 28 38 1353.64
1 20 28 39 1602.32
1 20 28 40 830.95
1 20 28 41 1262.54
1 20 28 42 1455.38
1 20 28 43 959.36
1 20 28 44 1191.37
1 20 28 45 1600.5
1 20 28 46 1340.19
1 20 28 47 1209.43
1 20 28 48 1192.24
1 20 28 49 1281.94
1 40 24 0 1052.53
1 40 24 1 2202.84
1 40 24 2 2015.4
1 40 24 3 1643.23
1 40 24 4 1830.52
1 40 24 5 2078.86
1 40 24 6 2207.2
1 40 24 7 2527.22
1 40 24 8 1956.27
1 40 24 9 2183.87
1 40 24 10 2381.98
1 40 24 11 1923.89
1 40 24 12 2047.63
1 40 24 13 2064.65
1 40 24 14 2000.23
1 40 24 15 1488.18
1 40 24 16 1767.65
1 40 24 17 2026.02
1 40 24 18 2128.49
1 40 24 19 1880.23
1 40 24 20 2020.54
1 40 24 21 2583.17
1 40 24 22 2959.96
1 40 24 23 1637.68
1 40 24 24 2372.65
1 40 24 25 2317.04
1 40 24 26 2280.31
1 40 24 27 1616.31
1 40 24 28 2604.07
1 40 24 29 1973.29
1 40 24 30 3014.59
1 40 24 31 1907.38
1 40 24 32 2570.23
1 40 24 33 2256.08
1 40 24 34 2000.85
1 40 24 35 1627.58
1 40 24 36 1554.6
1 40 24 37 1943.7
1 40 24 38 1967.82
1 40 24 39 2072.7
1 40 24 40 2210.74
1 40 24 41 2146.97
1 40 24 42 2189.99
1 40 24 43 2158.12
1 40 24 44 2025.78
1 40 24 45 2633.85
1 40 24 46 1850.08
1 40 24 47 2214.73
1 40 24 48 2328.93
1 40 24 49 1834.21
1 40 40 0 3785.41
1 40 40 1 3716.35
1 40 40 2 2940.69
1 40 40 3 4088.92
1 40 40 4 4568.49
1 40 40 5 4063.55
1 40 40 6 3378.88
1 40 40 7 3265.17
1 40 40 8 5092.56
1 40 40 9 3831.6
1 40 40 10 2972.24
1 40 40 11 3793.42
1 40 40 12 3871.26
1 40 40 13 3249.23
1 40 40 14 3148.63
1 40 40 15 3008.94
1 40 40 16 3177.39
1 40 40 17 3027.13
1 40 40 18 3532.5
1 40 40 19 3994.12
1 40 40 20 3234.97
1 40 40 21 3590.8
1 40 40 22 4156.01
1 40 40 23 3510.71
1 40 40 24 3784.64
1 40 40 25 3639.36
1 40 40 26 3505.36
1 40 40 27 3143.37
1 40 40 28 4162.27
1 40 40 29 3089.11
1 40 40 30 4203.07
1 40 40 31 4236.5
1 40 40 32 2612.83
1 40 40 33 2846.21
1 40 40 34 3948.92
1 40 40 35 3756.51
1 40 40 36 3054.63
1 40 40 37 4142.56
1 40 40 38 4130.27
1 40 40 39 2746.32
1 40 40 40 4487.24
1 40 40 41 3247.99
1 40 40 42 3502.07
1 40 40 43 3659.8
1 40 40 44 3948.52
1 40 40 45 4455.73
1 40 40 46 3379.6
1 40 40 47 3679.42
1 40 40 48 3684.77
1 40 40 49 4227.12
1 40 56 0 5167.93
1 40 56 1 5514.71
1 40 56 2 5154.85
1 40 56 3 4477.97
1 40 56 4 5441.85
1 40 56 5 5244.22
1 40 56 6 4041.1
1 40 56 7 4635.55
1 40 56 8 4218.49
1 40 56 9 5392.2
1 40 56 10 4989.2
1 40 56 11 6322.76
1 40 56 12 4876.15
1 40 56 13 6103
1 40 56 14 4280.2
1 40 56 15 5926.97
1 40 56 16 5370.48
1 40 56 17 6609.1
1 40 56 18 4889.33
1 40 56 19 4645.04
1 40 56 20 5171.64
1 40 56 21 4711.35
1 40 56 22 5860.13
1 40 56 23 4458.59
1 40 56 24 5257.99
1 40 56 25 5589.15
1 40 56 26 4742.62
1 40 56 27 4815.36
1 40 56 28 4275.76
1 40 56 29 4858.32
1 40 56 30 5453.43
1 40 56 31 4813.64
1 40 56 32 5164.76
1 40 56 33 4992.57
1 40 56 34 3962.51
1 40 56 35 4822.49
1 40 56 36 5086.52
1 40 56 37 4724.13
1 40 56 38 4075.81
1 40 56 39 5733.16
1 40 56 40 4792.01
1 40 56 41 5368.32
1 40 56 42 5057.55
1 40 56 43 6101.84
1 40 56 44 4880.79
1 40 56 45 4779.7
1 40 56 46 4446.53
1 40 56 47 4151.41
1 40 56 48 5773.3
1 40 56 49 5118.48
1 80 112 0 21565.49
1 80 112 1 20973.37
1 80 112 2 20421.68
1 80 112 3 19268.75
1 80 112 4 23206.01
1 80 112 5 20639.59
