G N M I OF
1 20 28 3 900.65
1 20 28 4 1306.02
1 20 28 5 874.08
1 20 28 6 905.04
1 20 28 7 1284.09
1 20 28 8 1024.9
1 20 28 9 1192.77
1 20 28 10 1093.04
1 20 28 11 934.86
1 20 28 12 1173.11
1 20 28 13 1091.5
1 20 28 14 1199.53
1 20 28 15 1697.21
1 20 28 16 1226.51
1 20 28 17 1421.97
1 20 28 18 1348.67
1 20 28 19 991.47
1 20 28 20 1107.69
1 20 28 21 798.31
1 20 28 22 1220.56
1 20 28 23 994.82
1 20 28 24 1212.27
1 20 28 25 1013.07
1 20 28 26 1337.44
1 20 28 27 822.51
1 20 28 28 1265.45
1 20 28 29 1381.52
1 20 28 30 1143.87
1 20 28 31 1119.66
1 20 28 32 1341.52
1 20 28 33 1100.47
1 20 28 34 1057.32
1 20 28 35 1174.15
1 20 28 36 1367.88
1 20 28 37 1648.68
1 20 28 38 1311.11
1 20 28 39 1603.86
1 20 28 40 803.63
1 20 28 41 1213.28
1 20 28 42 1460.33
1 20 28 43 895.4
1 20 28 44 1214.25
1 20 28 45 1594.85
1 20 28 46 1300.3
1 20 28 47 1198.65
1 20 28 48 1191.91
1 20 28 49 1259.8
1 40 24 0 1026.57
1 40 24 1 2195.82
1 40 24 2 2005.41
1 40 24 3 1685.09
1 40 24 4 1827.03
1 40 24 5 2084.53
1 40 24 6 2188.83
1 40 24 7 2518.38
1 40 24 8 1948.4
1 40 24 9 2241.11
1 40 24 10 2399.26
1 40 24 11 1918.25
1 40 24 12 1981.58
1 40 24 13 2023.54
1 40 24 14 1980.1
1 40 24 15 1481.7
1 40 24 16 1734.64
1 40 24 17 2037.69
1 40 24 18 2126.2
1 40 24 19 1847.52
1 40 24 20 2018.38
1 40 24 21 2640.92
1 40 24 22 2927.12
1 40 24 23 1660.48
1 40 24 24 2336.96
1 40 24 25 2304.91
1 40 24 26 2255.73
1 40 24 27 1623.24
1 40 24 28 2590.73
1 40 24 29 1955.62
1 40 24 30 2997.31
1 40 24 31 1896.49
1 40 24 32 2515.12
1 40 24 33 2192.27
1 40 24 34 2028.41
1 40 24 35 1628.36
1 40 24 36 1520.28
1 40 24 37 1980.23
1 40 24 38 1956.49
1 40 24 39 2072.58
1 40 24 40 2225
1 40 24 41 2191.47
1 40 24 42 2134.25
1 40 24 43 2140.13
1 40 24 44 1998.29
1 40 24 45 2597.14
1 40 24 46 1828.03
1 40 24 47 2218.47
1 40 24 48 2292.94
1 40 24 49 1862.67
1 40 40 0 3787.13
1 40 40 1 3721.52
1 40 40 2 2922.55
1 40 40 3 4083.88
1 40 40 4 4645.38
1 40 40 5 3976.54
1 40 40 6 3416.98
1 40 40 7 3241.32
1 40 40 8 5111.53
1 40 40 9 3807.79
1 40 40 10 2977.69
1 40 40 11 3740.51
1 40 40 12 3805.74
1 40 40 13 3275.12
1 40 40 14 3090.58
1 40 40 15 2989.97
1 40 40 16 3190.41
1 40 40 17 3013.28
1 40 40 18 3521.72
1 40 40 19 3963.02
1 40 40 20 3148.95
1 40 40 21 3573.45
1 40 40 22 4195.18
1 40 40 23 3464.91
1 40 40 24 3787.05
1 40 40 25 3648.5
1 40 40 26 3481.05
1 40 40 27 3140.59
1 40 40 28 4121.25
1 40 40 29 3107.31
1 40 40 30 4095.39
1 40 40 31 4206.63
1 40 40 32 2584.01
1 40 40 33 2855.95
1 40 40 34 3930.87
1 40 40 35 3717.28
1 40 40 36 3033.88
1 40 40 37 4076.04
1 40 40 38 4191.64
1 40 40 39 2762.69
1 40 40 40 4331.43
1 40 40 41 3298.97
1 40 40 42 3481.94
1 40 40 43 3679.34
1 40 40 44 3938.41
1 40 40 45 4345.31
1 40 40 46 3354.05
1 40 40 47 3660.96
1 40 40 48 3628.58
1 40 40 49 4202.93
1 40 56 0 5200.81
1 40 56 1 5464.24
1 40 56 2 5177.7
1 40 56 3 4446.34
1 40 56 4 5353.49
1 40 56 5 5232.37
1 40 56 6 4048.48
1 40 56 7 4628.67
1 40 56 8 4176.55
1 40 56 9 5374.56
1 40 56 10 5016.46
1 40 56 11 6355.78
1 40 56 12 4837.23
1 40 56 13 6002.29
1 40 56 14 4298.05
1 40 56 15 5837.7
1 40 56 16 5231.09
1 40 56 17 6511.61
1 40 56 18 4839.9
1 40 56 19 4528.02
1 40 56 20 5087.29
1 40 56 21 4617.58
1 40 56 22 5835.49
1 40 56 23 4434.72
1 40 56 24 5284.7
1 40 56 25 5532.6
1 40 56 26 4639.73
1 40 56 27 4760.28
1 40 56 28 4297.34
1 40 56 29 4819.05
1 40 56 30 5428.4
1 40 56 31 4838.31
1 40 56 32 5199.18
1 40 56 33 4918.9
1 40 56 34 3924.12
1 40 56 35 4731.4
1 40 56 36 5040.35
1 40 56 37 4598.17
1 40 56 38 3998.33
1 40 56 39 5727.16
1 40 56 40 4781.92
1 40 56 41 5293.1
1 40 56 42 4972.54
1 40 56 43 6014.8
1 40 56 44 4861.85
1 40 56 45 4785.89
1 40 56 46 4428.93
1 40 56 47 4181.07
1 40 56 48 5765.37
1 40 56 49 5057.95
1 80 112 0 21472.06
1 80 112 1 20974.56
1 80 112 2 20436.28
1 80 112 3 19179.88
1 80 112 4 23255.67
1 80 112 5 20616.14
1 80 112 6 24500.02
1 80 112 7 23194.12
1 80 112 8 21601.35
1 80 112 9 20051.73
1 80 112 10 22734.53
1 80 112 11 22176.29
1 80 112 12 20560.01
1 80 112 13 21255.65
1 80 112 14 24224.3
1 80 112 15 22044.28
1 80 112 16 21350.92
1 80 112 17 25004.68
1 80 112 18 23653.48
1 80 112 19 20242.88
1 80 112 20 23504.76
1 80 112 21 19677.5
1 80 112 22 23890.37
1 80 112 23 19028.02
1 80 112 24 18618.63
1 80 112 25 21087.79
1 80 112 26 20581.45
1 80 112 27 23206.36
1 80 112 28 21471.15
1 80 112 29 23346.84
1 80 112 30 20991.82
1 80 112 31 24622.49
1 80 112 32 19021.88
1 80 112 33 19467.05
1 80 112 34 21009.87
1 80 112 35 23082.57
1 80 112 36 22334.36
1 80 112 37 22657.07
1 80 112 38 21229.61
1 80 112 39 23249.67
1 80 112 40 23757.26
1 80 112 41 19775.11
1 80 112 42 20514.35
1 80 112 43 22813.14
1 80 112 44 25448.53
1 80 112 45 20880.02
1 80 112 46 19613.2
1 80 112 47 23302.28
1 80 112 48 18526.1
1 80 112 49 22643.04
1 80 48 0 8693.67
1 80 48 1 8114.71
1 80 48 2 7988.14
1 80 48 3 8776.89
1 80 48 4 6773.18
1 80 48 5 10655.2
1 80 48 6 9480.5
1 80 48 7 9489.29
1 80 48 8 9684.45
1 80 48 9 10310.01
1 80 48 10 7561.3
1 80 48 11 8368.45
1 80 48 12 8641.75
1 80 48 13 7509.23
1 80 48 14 6504.15
1 80 48 15 9534.69
1 80 48 16 10026.95
1 80 48 17 7597.6
1 80 48 18 8250.44
1 80 48 19 7237.21
1 80 48 20 8400.76
1 80 48 21 10704.83
1 80 48 22 8754.42
